"propertyid","address","city","state","zipcode","price","bedrooms","bathrooms","squarefeet","datelisted","geometry"
38523431,"3101 N COUNTRY CLUB DR APT 609","Miami","FL","33180",,1,1.5,741,,"POINT(-80.137581 25.967032)"
38523433,"2915 NW 29TH ST","Miami","FL","33142",200000,5,2,1803,,"POINT(-80.242428 25.802824)"
38523432,"2130 NW 13TH ST","Miami","FL","33125",770000,4,3,2396,,"POINT(-80.230359 25.785043)"
38523439,"8795 SW 81ST ST","Miami","FL","33173",,3,2,2538,,"POINT(-80.335584 25.69439)"
38523441,"874 NW 128TH PL","Miami","FL","33182",720000,3,2,1785,,"POINT(-80.404655 25.777404)"
38523445,"12308 SW 148TH TER","Miami","FL","33186",97100,3,2,1464,,"POINT(-80.392544 25.629903)"
38523446,"9220 SW 76TH TER","Miami","FL","33173",450000,4,2,3827,,"POINT(-80.343261 25.697658)"
38523450,"8821 SW 82ND ST","Miami","FL","33173",,3,2,2682,,"POINT(-80.336153 25.693619)"
38523456,"2165 NW 13TH ST","Miami","FL","33125",,2,1,1856,,"POINT(-80.230659 25.786023)"
38523485,"401 BISCAYNE BLVD","Miami","FL","33132",,,,303597,,"POINT(-80.185821 25.778233)"
38523482,"1121 NW 77TH ST","Miami","FL","33150",375000,3,2,1644,,"POINT(-80.215643 25.844844)"
38523479,"8486 SW 165TH PL","Miami","FL","33193",0,3,2.5,2058,,"POINT(-80.46121 25.686732)"
38523494,"240 NW 11TH ST","Miami","FL","33136",,,,,,"POINT(-80.198542 25.784428)"
38523497,"1865 BRICKELL AVE APT A1802","Miami","FL","33129",,,,1064,,"POINT(-80.196305 25.754149)"
38523506,"200 SE 15TH RD APT 4D","Miami","FL","33129",270000,2,2,1017,,"POINT(-80.191311 25.756546)"
38523509,"8775 SW 81ST ST","Miami","FL","33173",,4,2,2553,,"POINT(-80.335242 25.694419)"
38523518,"3675 FLORIDA AVE","Miami","FL","33133",,5,3,1746,,"POINT(-80.25315 25.72859)"
38523516,"851 NE 1ST AVE UNIT 2711","Miami","FL","33132",1651300,3,4,2188,,"POINT(-80.191819 25.782462)"
38523523,"1865 BRICKELL AVE APT A2013","Miami","FL","33129",752500,2,2,1467,,"POINT(-80.196305 25.754149)"
38523529,"940 NW 134TH PL","Miami","FL","33182",127000,3,2,1747,,"POINT(-80.413468 25.778526)"
38523544,"724 NW 22ND ST","Miami","FL","33127",,,,,,"POINT(-80.207959 25.797739)"
38523542,"7839 SW 119TH PL","Miami","FL","33183",515000,3,2,3331,,"POINT(-80.38482 25.69427)"
38523551,"200 BISCAYNE BOULEVARD WAY APT 4708","Miami","FL","33131",984000,2,2.5,1500,,"POINT(-80.189544 25.770527)"
38523548,"1430 SW 150TH AVE","Miami","FL","33194",369000,4,3,3905,,"POINT(-80.439006 25.753569)"
38523552,"9620 SW 78TH ST","Miami","FL","33173",339000,3,2,1468,,"POINT(-80.349497 25.696173)"
